Wall time,Step,Value
1496351216.960518,1099,0.0
1496351220.996703,1399,0.0
1496351233.630198,2299,0.0
1496351240.779439,2699,0.0
1496351245.779053,2999,0.0
1496351254.240302,3499,0.07999999821186066
1496351266.337433,4399,0.0
1496351293.088968,6199,0.12999999523162842
1496351295.168847,6299,0.10999999940395355
1496351298.889897,6499,0.0
1496351313.169924,7599,0.0
1496351327.24526,8699,0.0
1496351328.624474,8799,0.0
1496351329.885032,8899,0.1599999964237213
1496351336.837905,9299,0.0
1496351340.798594,9599,0.0
1496351342.287208,9699,0.0
1496351362.853061,11099,0.0
1496351364.193101,11199,0.0
1496351365.416536,11299,0.0
1496351392.11913,13199,0.0
1496351395.943712,13499,0.0
1496351400.360886,13799,0.0
1496351401.554145,13899,0.0
1496351414.313411,14799,0.0
1496351453.648602,17599,0.0
1496351459.817482,17999,0.0
1496351461.294137,18099,0.25999999046325684
1496351475.120849,18999,0.0
1496351476.783159,19099,0.0
1496351480.786637,19399,0.30000001192092896
1496351487.66483,19899,0.0
1496351489.115043,19999,0.0
1496351497.454326,20599,0.0
1496351516.970358,22099,0.4300000071525574
1496351522.266545,22499,0.0
1496351523.478314,22599,0.0
1496351527.884126,22899,0.0
1496351529.097439,22999,0.0
1496351536.388122,23499,0.03999999910593033
1496351545.138428,24099,0.0
1496351546.373116,24199,0.0
1496351547.57879,24299,0.0
1496351554.180741,24799,0.49000000953674316
1496351558.060981,25099,0.0
1496351560.997501,25299,0.0
1496351584.744863,26999,0.0
1496351598.492212,28099,0.0
1496351604.475563,28599,0.38999998569488525
1496351619.059809,29799,0.0
1496351626.4801,30299,0.0
1496351628.855558,30499,0.0
1496351630.068721,30599,0.0
1496351632.515224,30799,0.0
1496351646.40605,31799,0.0
1496351648.764776,31999,0.0
1496351668.465982,33399,0.0
1496351672.118598,33699,0.0
1496351676.155639,33999,0.28999999165534973
1496351677.339003,34099,0.0
1496351683.636843,34599,0.0
1496351684.872013,34699,0.0
1496351689.959389,35099,0.3400000035762787
1496351693.202221,35299,0.28999999165534973
1496351694.653356,35399,0.0
1496351706.977488,36299,0.0
1496351711.011184,36599,0.0
1496351718.272837,37199,0.0
1496351719.390464,37299,0.0
1496351720.652987,37399,0.0
1496351721.77452,37499,0.0
1496351724.247933,37699,0.28999999165534973
1496351729.045981,38099,0.0
1496351733.9077,38499,0.0
1496351735.20462,38599,0.0
1496351738.704969,38899,0.0
1496351740.048437,38999,0.20000000298023224
1496351741.359195,39099,0.17000000178813934
1496351757.989768,40299,0.3400000035762787
1496351764.191931,40699,0.0
1496351765.419264,40799,0.0
1496351774.033027,41499,0.0
1496351776.724094,41699,0.05999999865889549
1496351795.627253,43099,0.0
1496351804.442626,43699,0.0
1496351808.519746,43999,0.0
1496351814.707501,44399,0.0
1496351821.076562,44899,0.0
1496351822.248934,44999,0.0
1496351824.804706,45199,0.0
1496351836.030474,46099,0.0
1496351881.38189,49399,0.49000000953674316
1496351887.982103,49899,0.0
1496351904.509616,51199,0.0
1496351912.032373,51799,0.0
1496351913.573998,51899,0.019999999552965164
1496351914.910729,51999,0.5699999928474426
1496351918.494511,52299,0.0
1496351925.53476,52899,0.0
1496351926.966012,52999,0.0
1496351936.083604,53699,0.0
1496351943.081843,54199,0.0
1496351946.705806,54499,0.0
1496351962.186428,55599,0.0
1496351963.397207,55699,0.0
1496351964.580121,55799,0.0
1496351965.823059,55899,0.4099999964237213
1496351978.644221,56899,0.0
1496351989.18651,57699,0.0
1496351991.643261,57899,0.0
1496351995.448738,58199,0.0
1496351996.618479,58299,0.0
1496352000.624744,58599,0.0
1496352008.24241,59199,0.0
1496352010.783972,59399,0.0
1496352015.72988,59799,0.36000001430511475
1496352028.032065,60799,0.0
1496352031.888716,61099,0.49000000953674316
1496352034.309932,61299,0.0
1496352039.099997,61699,0.0
1496352043.657735,61999,0.0
1496352062.515413,63399,0.0
1496352074.569545,64299,0.0
1496352082.41328,64899,0.1599999964237213
1496352089.916431,65499,0.0
1496352092.248098,65699,0.0
1496352101.182313,66299,0.3100000023841858
1496352103.582408,66499,0.0
1496352104.826241,66599,0.0
1496352108.371875,66899,0.0
1496352109.627504,66999,0.0
1496352112.10126,67199,0.0
1496352114.486774,67399,0.0
1496352116.984147,67599,0.2199999988079071
1496352118.155789,67699,0.0
1496352129.409809,68499,0.0
1496352133.646702,68799,0.14000000059604645
1496352143.377259,69499,0.0
1496352145.777857,69699,0.0
