Wall time,Step,Value
1495411066.341076,1099,0.0
1495411073.264524,2399,0.0
1495411076.41132,2999,0.0
1495411085.353266,4599,0.0
1495411086.448825,4799,0.10999999940395355
1495411088.051572,5099,0.0
1495411089.133158,5299,0.0
1495411092.806274,5899,0.0
1495411094.822789,6199,0.10999999940395355
1495411103.992277,7699,0.20000000298023224
1495411105.681253,7999,0.0
1495411108.532607,8499,0.0
1495411113.655339,9299,0.0
1495411118.075065,9999,0.0
1495411122.753069,10799,0.0
1495411124.457124,11099,0.0
1495411125.003308,11199,0.0
1495411128.999812,11899,0.0
1495411136.176257,13199,0.0
1495411143.331011,14499,0.1599999964237213
1495411149.943917,15599,0.0
1495411152.693362,16099,0.0
1495411154.416878,16399,0.0
1495411159.946877,17299,0.0
1495411160.486439,17399,0.0
1495411166.285502,18399,0.10999999940395355
1495411169.02923,18899,0.0
1495411170.151763,19099,0.0
1495411170.720347,19199,0.0
1495411172.99263,19599,0.0
1495411177.562192,20399,0.0
1495411183.12337,21199,0.5699999928474426
1495411183.847538,21299,0.0
1495411187.31283,21799,0.0
1495411193.388788,22899,0.0
1495411196.879963,23499,0.0
1495411199.714758,23999,0.0
1495411201.321018,24299,0.0
1495411208.088291,25499,0.0
1495411211.769917,26099,0.0
1495411214.857732,26599,0.009999999776482582
1495411218.781714,27299,0.0
1495411221.167966,27699,0.019999999552965164
1495411222.311577,27899,0.0
1495411233.590863,29799,0.0
1495411236.559885,30299,0.10999999940395355
1495411237.147643,30399,0.0
1495411240.055395,30899,0.0
1495411242.746485,31399,0.0
1495411243.898824,31599,0.0
1495411248.308909,32399,0.0
1495411248.849115,32499,0.0
1495411252.705403,33199,0.3199999928474426
1495411254.919094,33599,0.0
1495411260.041814,34499,0.10000000149011612
1495411264.467025,35299,0.0
1495411273.24499,36899,0.0
1495411275.490362,37299,0.0
1495411278.925938,37899,0.0
1495411281.159883,38299,0.1899999976158142
1495411282.266348,38499,0.4399999976158142
1495411305.392671,42699,0.0
1495411305.928112,42799,0.0
1495411307.007271,42999,0.0
1495411310.293921,43599,0.4000000059604645
1495411315.308519,44499,0.0
1495411316.411045,44699,0.0
1495411316.973161,44799,0.0
1495411318.659879,45099,0.18000000715255737
1495411321.915423,45699,0.0
1495411326.859011,46599,0.0
1495411328.488013,46899,0.0
1495411329.028017,46999,0.0
1495411334.497186,47999,0.0
1495411343.826869,49699,0.0
1495411344.943298,49899,0.0
1495411352.586744,51299,0.0
1495411355.342163,51799,0.0
1495411356.418986,51999,0.0
1495411358.037885,52299,0.0
1495411362.464249,53099,0.0
1495411365.730268,53699,0.0
1495411366.818695,53899,0.0
1495411368.527103,54199,0.6600000262260437
1495411371.791713,54799,0.0
1495411374.557021,55299,0.0
1495411380.039323,56299,0.0
1495411383.376512,56899,0.25999999046325684
1495411386.671769,57499,0.0
1495411388.87458,57899,0.0
1495411392.235847,58499,0.0
1495411393.313721,58699,0.0
1495411393.856571,58799,0.0
1495411394.942227,58999,0.0
1495411396.02835,59199,0.0
1495411396.586603,59299,0.12999999523162842
1495411399.333356,59799,0.0
1495411399.869288,59899,0.0
1495411405.08812,60799,0.6399999856948853
1495411408.525033,61399,0.0
1495411409.681308,61599,0.0
1495411412.71978,62099,0.36000001430511475
1495411415.640609,62599,0.0
1495411416.9186,62799,0.0
1495411424.909768,63999,0.0
1495411429.666052,64699,0.5299999713897705
1495411430.265907,64799,0.0
1495411431.476899,64999,0.0
1495411432.75652,65199,0.0
1495411433.44901,65299,0.0
1495411434.732036,65499,0.0
1495411442.536564,66699,0.0
1495411444.302227,66999,0.0
1495411446.979344,67399,0.1899999976158142
1495411448.91819,67699,0.0
