x y
0 0.004
1 0.004
2 0.004
3 0.002
4 0.006
5 0.0
6 0.004
7 0.002
8 0.002
9 0.004
10 0.002
11 0.004
12 0.002
13 0.002
14 0.002
15 0.008
16 0.004
17 0.008
18 0.002
19 0.01
20 0.002
21 0.002
22 0.004
23 0.002
24 0.002
25 0.004
26 0.008
27 0.024
28 0.082
29 0.088
30 0.092
31 0.1
32 0.106
33 0.106
34 0.116
35 0.124
36 0.12
37 0.128
38 0.13
39 0.14
40 0.144
41 0.148
42 0.15
43 0.16
44 0.164
45 0.166
46 0.17
47 0.172
48 0.178
49 0.178
50 0.18
51 0.184
52 0.184
53 0.188
54 0.188
55 0.19
56 0.192
57 0.194
58 0.196
59 0.196
60 0.198
61 0.198
62 0.2
63 0.202
64 0.2
65 0.202
66 0.202
67 0.202
68 0.204
69 0.204
70 0.204
71 0.204
72 0.204
73 0.206
74 0.206
75 0.206
76 0.206
77 0.206
78 0.208
79 0.206
80 0.208
81 0.206
82 0.208
83 0.206
84 0.208
85 0.208
86 0.206
87 0.208
88 0.208
89 0.208
90 0.208
91 0.206
92 0.208
93 0.208
94 0.208
95 0.208
96 0.208
97 0.21
98 0.208
99 0.208
