x y
0 -0.108
1 -0.0226
2 -0.0128
3 -0.0182
4 -0.0114
5 -0.0094
6 -0.0088
7 -0.0082
8 -0.0108
9 -0.011
10 -0.0072
11 -0.01
12 -0.0086
13 -0.0122
14 -0.007
15 -0.0098
16 -0.0088
17 -0.0074
18 -0.0124
19 -0.0048
20 -0.0138
21 -0.0122
22 -0.011
23 -0.0064
24 -0.011
25 -0.0058
26 -0.0026
27 -0.0068
28 -0.0092
29 -0.006
30 -0.0106
31 -0.0114
32 -0.0106
33 -0.0094
34 -0.0018
35 -0.0068
36 -0.004
37 0.1162
38 0.1758
39 0.1732
40 0.174
41 0.1736
42 0.1726
43 0.1786
44 0.1762
45 0.1784
46 0.1774
47 0.174
48 0.1784
49 0.1758
50 0.1742
51 0.1782
52 0.1752
53 0.1702
54 0.1872
55 0.1846
56 0.183
57 0.1814
58 0.1812
59 0.1836
60 0.184
61 0.183
62 0.1832
63 0.1836
64 0.1886
65 0.1894
66 0.1878
67 0.1932
68 0.1888
69 0.188
70 0.1956
71 0.1888
72 0.1948
73 0.1926
74 0.1906
75 0.1924
76 0.1924
77 0.1902
78 0.1954
79 0.1922
80 0.1904
81 0.19
82 0.1922
83 0.1876
84 0.1916
85 0.19
86 0.1916
87 0.1942
88 0.191
89 0.1906
90 0.1902
91 0.193
92 0.1892
93 0.1924
94 0.1872
95 0.186
96 0.1954
97 0.1882
98 0.1932
99 0.1914
