x y
0 0.002
1 0.002
2 0.004
3 0.002
4 0.004
5 0.004
6 0.004
7 0.006
8 0.004
9 0.004
10 0.0
11 0.006
12 0.004
13 0.004
14 0.002
15 0.002
16 0.006
17 0.006
18 0.002
19 0.004
20 0.008
21 0.002
22 0.004
23 0.0
24 0.0
25 0.004
26 0.01
27 0.006
28 0.036
29 0.086
30 0.094
31 0.104
32 0.108
33 0.112
34 0.122
35 0.128
36 0.136
37 0.138
38 0.142
39 0.152
40 0.15
41 0.156
42 0.162
43 0.168
44 0.172
45 0.176
46 0.178
47 0.184
48 0.186
49 0.188
50 0.188
51 0.19
52 0.196
53 0.2
54 0.198
55 0.2
56 0.202
57 0.204
58 0.206
59 0.206
60 0.206
61 0.208
62 0.21
63 0.21
64 0.21
65 0.212
66 0.212
67 0.212
68 0.212
69 0.216
70 0.212
71 0.216
72 0.214
73 0.214
74 0.216
75 0.216
76 0.216
77 0.214
78 0.216
79 0.216
80 0.218
81 0.216
82 0.216
83 0.216
84 0.218
85 0.216
86 0.218
87 0.216
88 0.216
89 0.218
90 0.216
91 0.218
92 0.216
93 0.218
94 0.218
95 0.216
96 0.218
97 0.216
98 0.218
99 0.218
