x y
0 0.004
1 0.002
2 0.004
3 0.002
4 0.002
5 0.002
6 0.004
7 0.006
8 0.002
9 0.004
10 0.004
11 0.004
12 0.006
13 0.006
14 0.002
15 0.006
16 0.008
17 0.002
18 0.01
19 0.03
20 0.068
21 0.088
22 0.096
23 0.108
24 0.118
25 0.116
26 0.12
27 0.126
28 0.138
29 0.14
30 0.146
31 0.152
32 0.158
33 0.16
34 0.164
35 0.166
36 0.172
37 0.178
38 0.178
39 0.182
40 0.184
41 0.19
42 0.194
43 0.192
44 0.196
45 0.198
46 0.198
47 0.202
48 0.204
49 0.206
50 0.206
51 0.206
52 0.21
53 0.21
54 0.208
55 0.212
56 0.21
57 0.212
58 0.212
59 0.214
60 0.212
61 0.214
62 0.214
63 0.214
64 0.216
65 0.216
66 0.214
67 0.216
68 0.216
69 0.214
70 0.218
71 0.214
72 0.216
73 0.216
74 0.218
75 0.216
76 0.218
77 0.216
78 0.216
79 0.218
80 0.216
81 0.218
82 0.216
83 0.218
84 0.218
85 0.216
86 0.218
87 0.216
88 0.218
89 0.216
90 0.218
91 0.218
92 0.216
93 0.218
94 0.218
95 0.216
96 0.218
97 0.218
98 0.216
99 0.218
