x no_shield shield_1 no_shield_sarsa shield_1_sarsa
0 0.514782986481 7.59341416429 1.52456938083 7.79589008878
1 0.818569221867 8.23502078897 1.32917817351 8.20507784156
2 1.12134608342 8.46185253116 1.56562089008 7.89083316875
3 1.22690805921 8.39906096438 1.54410934177 8.45838935629
4 1.1988540785 8.54713017177 1.43028363215 8.44657281647
5 1.30734299676 8.5692350413 1.72620823489 8.16473163528
6 1.29688530369 8.53523709849 1.55393013394 8.45511271641
7 1.85515810635 8.33448279143 1.65706586861 8.49423657802
8 1.83411395885 8.64263371277 1.60330226256 8.34342422539
9 1.63851900577 8.57996095391 1.94700023872 8.54328896928
10 1.93371633949 8.62341715551 1.76296742611 8.60466949203
11 2.00885554455 8.49042954801 1.81941736512 8.61345042486
12 2.01006300111 8.4443629549 1.82486534826 8.46923932467
13 2.06511968331 8.66802399159 2.0471006272 8.52157592793
14 1.96754216468 8.70587227276 2.17660854758 8.28018334703
15 1.9904319346 8.69387078927 1.99250085499 8.31422858572
16 2.21139056321 8.46758683253 2.07761242781 8.71810328167
17 2.22726952856 8.59633673529 2.04182403984 8.46418345998
18 2.43499616017 8.51503201691 1.99385398613 8.73000734157
19 2.19660581087 8.60159962926 2.15137726841 8.33636455531
20 2.28464632723 8.59152190588 2.13669400507 8.70040796452
21 2.05053874153 8.4844750899 2.03128900487 8.71744604607
22 2.15954829519 8.44532465617 2.24146246985 8.51991313498
23 2.32413959002 8.48646744072 2.16040721861 8.6369441024
24 2.2540909007 8.84971543267 2.36829961108 8.41031963522
25 2.48580284223 8.61688730512 2.39435599911 8.56633548041
26 2.503120264 8.6811493538 2.345554055 8.73020290314
27 2.45150174545 8.5760490999 2.44203361852 8.59243356617
28 2.61792394722 8.80548988669 2.50308859714 8.60612441918
29 2.81282472073 8.75515517614 2.42815859892 8.62942336113
30 2.61534742468 8.5909334839 2.5055698106 8.48639149945
31 2.22287698493 8.62799009877 2.54705449136 8.78497991072
32 2.58640132226 8.7039530327 2.39248965759 8.73436492216
33 2.51043027445 8.84594222691 2.51530143267 8.68566943802
34 2.74998391086 8.61641784005 2.29370171058 8.60050079212
35 2.62567151337 8.59123064239 2.68634271379 8.63606756092
36 2.69525592927 8.72209398042 2.37812235022 8.65033390932
37 3.05343076338 8.69396569788 2.90792922894 8.64126653987
38 2.65923615506 8.73828273386 2.5638292159 8.65133480243
39 2.65038548468 8.80548355516 2.67328703703 8.71051681307
40 2.8455979576 8.76917705568 2.70549578727 8.77813876033
41 2.93401130558 8.83735074066 2.96527345625 8.66847262242
42 2.75109630947 8.79343785737 2.64393006445 8.74304078093
43 3.06729086767 8.85067870539 2.69127737976 8.75225484413
44 2.93282850683 8.69305775435 2.85838796064 8.60909638439
45 2.97897065037 8.74866226225 2.97398597425 8.75530874068
46 2.98267448851 8.89683347638 2.90034135742 8.80251632133
47 3.03275763288 8.81904831473 2.53825565119 8.73099731908
48 3.17924301904 8.73642569681 2.66946826933 8.71123277601
49 2.92560585585 8.8916215474 3.04403366073 8.76038150854
50 3.07295927553 8.80634218706 2.93126624185 8.7737859388
51 2.96062450008 8.58061589942 3.19634021686 8.83145182142
52 3.0249313092 8.77891694285 2.75013964231 8.73677466254
53 3.2852841292 8.73555908871 2.95904246731 8.7532418505
54 3.11260745384 8.85651940603 2.92627276264 8.79748414963
55 3.40316585045 8.82759653186 3.17311640823 8.8164728048
56 3.36724157779 8.86790918145 3.26089085723 8.87566755139
57 3.12857486471 8.78206271619 3.18807941436 8.86639732636
58 3.3116895014 8.87590067388 3.09588273193 8.83207757088
59 3.05203878414 8.89248206693 3.28230441951 8.82261558142
60 3.24543682393 8.96157720065 3.20725224283 8.86048655838
61 3.46842630863 8.84975116549 2.97575641648 8.85906990639
62 3.49266415953 8.83599936116 3.14504411372 8.82179480053
63 3.26178243562 8.86649850095 3.15133507556 8.74558735591
64 3.49709529674 8.82530633097 3.44633229802 8.85976089026
65 3.63331310267 8.88719920572 3.57515775054 8.82764211722
66 3.36942935724 8.85130269829 3.60318279389 8.82893428578
67 3.65651650531 8.88158043482 3.50348893725 8.8261523042
68 3.07879642656 8.90060480394 3.5669270511 8.87453940444
69 3.29278964102 8.76213431186 3.3198880605 8.97436680738
70 3.87277321095 8.95558865814 3.41773572522 8.79925196288
71 3.50400346862 8.81529170502 3.29158281705 8.8136801497
72 3.63474933218 8.8612437235 3.32971030292 8.87893824257
73 3.51819099316 8.89324122541 3.51847987153 8.91145535619
74 3.40578983163 8.89980899228 3.49823903164 8.87384416451
75 3.66675355945 8.83300008566 3.30495302243 8.83478904348
76 4.00924035024 8.9524725867 3.75360561674 8.84802472977
77 3.27867845629 8.8761698061 3.8636017624 8.85281352491
78 3.66072688946 8.95089481927 3.81462644339 8.9540642389
79 3.94270641547 8.91470037465 3.21426488887 8.93131079333
80 3.53195133486 8.86117753471 3.49408630692 8.84323963914
81 3.58690325812 8.86282991916 3.58150429051 8.806203769
82 3.94759102708 9.01015894574 3.52273297515 8.91173236882
83 3.97463371707 8.89488537756 3.73290374082 8.89232743708
84 3.66618273312 8.83059493911 3.93330180616 8.95122005033
85 3.72551490191 8.89826408975 3.66733991841 8.96156708601
86 4.06805596967 8.9337785274 3.91269310511 8.97416239831
87 4.06427812746 8.98622473397 3.77002330709 8.96798801827
88 3.72102651102 8.86817098897 3.78537810676 8.86771364411
89 3.91905112809 8.92904183738 3.92821787923 9.01020363693
90 3.84874173522 8.95707419218 4.32445490184 8.85941944852
91 4.06908719017 8.92219201869 4.07816888415 8.89073940672
92 3.98139096827 8.9471891938 4.07026451449 8.99349338088
93 3.90812830539 8.90236566244 4.03423852018 8.9388083708
94 4.29178613232 8.9493159441 4.19971444046 8.98700924725
95 4.16082865142 8.88277735132 4.11223136203 8.89312588241
96 4.16382616729 8.96036462092 4.00652607757 8.86257013749
97 3.94192509047 8.95537045182 3.95869548155 8.95202568176
98 3.93763590115 8.97170295131 3.86465250096 9.02344266424
99 4.03949160332 8.95212542911 3.93738290839 8.98334539427
100 3.91099992781 8.98649255958 4.20401662183 9.0321707859
101 4.10290962444 8.96967470864 4.20835800497 9.02529891465
102 4.22119451536 8.99928791816 3.81220237325 8.98291198446
103 4.37569367735 8.98245244225 4.0411048598 8.94506823047
104 4.33355119658 8.94604748151 3.98205702868 9.05926828281
105 4.18785975367 9.04555180198 4.40498289988 9.05240393511
106 4.11526681091 9.02857745841 4.17768575126 8.93367351359
107 4.37856239578 8.9818797388 4.32783454192 8.93460223819
108 4.2944708544 8.99086951795 4.25873220151 8.94596020628
109 4.35773806569 8.98655308595 4.4304780965 8.98901501247
110 4.06628279676 9.05088730286 4.38670208544 9.04479587275
111 4.37499847702 9.0442617938 4.33468928767 9.04499981838
112 4.8535757398 8.96442449949 4.47078073031 9.01758871526
113 4.3409673741 9.00675001828 4.45446899586 8.96137185368
114 4.39931845968 8.89423743054 4.13171049358 8.9928687037
115 4.3666035606 8.97296730431 4.38561179276 9.08390708896
116 4.55777916051 9.02110545613 4.86234027663 9.04977450071
117 4.4999217564 9.05841608982 4.50266346712 9.01294826106
118 4.87203791256 9.03036227478 4.48800555682 9.02499765358
119 4.7304797164 9.0463449047 4.59583431721 9.04678153412
120 4.68202381321 8.98455454076 4.29435730351 9.02110615697
121 4.39236947876 9.04716406731 4.63467856192 8.97860020255
122 4.43604873767 9.0412802212 4.59084435161 8.9807136926
123 4.96229485519 9.06262404913 4.5442676996 9.0952506643
124 4.69915748072 8.9849099332 4.39371597636 9.08025902539
125 5.16531958256 9.01484748115 4.53917237201 9.0235980427
126 4.68081474571 8.99735468837 4.90395276022 9.01924729226
127 4.64547590794 9.00861686221 4.61116504723 9.08315550487
128 4.82972127962 8.99125919221 4.72681183372 9.04184721786
129 4.7043845606 9.04111449385 4.9663447043 9.07238816879
130 5.27843318899 9.05764702164 4.62233826229 9.08784630545
131 4.96633693682 9.04090972948 5.07814631899 9.072286462
132 4.82652675453 9.00489943758 5.03807669507 9.08341888107
133 5.10962622773 8.98848397072 4.86505480073 9.11483338961
134 4.80914432896 9.09809397692 4.54682949184 9.0063316806
135 4.77258444201 9.06450261953 4.72539555909 9.08014769625
136 4.97592815589 9.06073073253 5.3039150693 9.12201761068
137 4.80238541914 9.04808351754 5.12196466938 9.0857921667
138 5.04089433159 9.00812078149 4.90957329619 9.06299984357
139 4.91859863033 9.02566095199 5.2429897773 9.07895491662
140 4.74340139375 9.03472210253 5.06227890306 9.10440248615
141 5.00965309805 9.01536036925 4.96369306065 9.06408680105
142 4.9701053898 9.06643583383 5.13447525388 9.10969603663
143 4.85711489635 9.04233333487 5.13805428376 9.040476033
144 5.17130454146 9.06790709131 5.13272794159 9.06500290829
