Wall time,Step,Value
1495577091.796657,8999,0.07999999821186066
1495577144.143587,10999,0.10000000149011612
1495577222.535917,13999,0.11999999731779099
1495577248.445377,14999,0.05999999865889549
1495577327.092689,17999,0.18000000715255737
1495577456.919805,22999,0.14000000059604645
1495577509.016598,24999,0.11999999731779099
1495577560.922767,26999,0.10000000149011612
1495577638.856428,29999,0.1599999964237213
1495577716.228844,32999,0.10000000149011612
1495577767.881105,34999,0.05999999865889549
1495577897.628291,39999,0.2199999988079071
1495577923.607872,40999,0.07999999821186066
1495577949.653918,41999,0.10000000149011612
1495577975.929129,42999,0.03999999910593033
1495578002.750352,43999,0.11999999731779099
1495578055.080193,45999,0.10000000149011612
1495578081.178407,46999,0.05999999865889549
1495578107.448719,47999,0.1599999964237213
1495578186.540147,50999,0.2800000011920929
1495578212.867961,51999,0.20000000298023224
1495578291.849028,54999,0.18000000715255737
1495578344.913816,56999,0.14000000059604645
1495578397.542984,58999,0.11999999731779099
1495578423.79552,59999,0.10000000149011612
1495578476.47259,61999,0.18000000715255737
1495578502.920848,62999,0.05999999865889549
1495578529.20401,63999,0.1599999964237213
1495578555.596656,64999,0.20000000298023224
1495578847.453734,75999,0.18000000715255737
1495578927.308947,78999,0.18000000715255737
1495579033.625297,82999,0.20000000298023224
1495579140.24402,86999,0.11999999731779099
1495579166.941805,87999,0.14000000059604645
1495579193.604148,88999,0.20000000298023224
1495579300.915244,92999,0.11999999731779099
1495579381.744924,95999,0.11999999731779099
1495579408.823225,96999,0.10000000149011612
1495579515.584605,100999,0.14000000059604645
1495579595.501486,103999,0.20000000298023224
1495579676.335404,106999,0.14000000059604645
1495579783.505007,110999,0.05999999865889549
1495579810.350895,111999,0.10000000149011612
1495579837.165674,112999,0.18000000715255737
1495579864.026878,113999,0.11999999731779099
1495580025.015552,119999,0.14000000059604645
1495580078.734219,121999,0.18000000715255737
1495580239.892703,127999,0.18000000715255737
1495580347.563314,131999,0.10000000149011612
1495580428.014754,134999,0.23999999463558197
1495580508.4785,137999,0.14000000059604645
1495580535.480338,138999,0.20000000298023224
1495580589.18839,140999,0.20000000298023224
1495580669.973831,143999,0.25999999046325684
1495580696.727321,144999,0.11999999731779099
1495580723.377244,145999,0.2199999988079071
1495580776.809413,147999,0.14000000059604645
