x no_shield shield_1
0 0.116000000015 0.122000000998
1 0.121999999136 0.172000002116
2 0.15200000219 0.166000001132
3 0.152000001073 0.187999998778
4 0.144000001624 0.151999998838
5 0.173999999464 0.153999999911
6 0.156000000238 0.161999999732
7 0.143999999762 0.158000000566
8 0.182000000775 0.152000000328
9 0.152000000328 0.187999999523
10 0.161999999732 0.175999998301
11 0.16600000076 0.190000000596
12 0.16799999848 0.180000000447
13 0.133999998122 0.190000000596
14 0.176000002027 0.186000001431
15 0.184000003338 0.194000002742
16 0.147999999672 0.176000001281
17 0.191999998689 0.18200000152
18 0.231999996305 0.202000001073
19 0.169999998063 0.194000001252
20 0.192000003159 0.179999998212
21 0.180000000447 0.167999997735
22 0.229999996722 0.199999999255
23 0.195999999344 0.2
24 0.196000000089 0.202000001073
25 0.172000002116 0.212000000477
26 0.200000000745 0.217999996245
27 0.200000002235 0.23599999845
28 0.19999999851 0.175999999791
29 0.223999996483 0.201999998093
30 0.237999996543 0.237999995053
31 0.196000000834 0.197999998182
32 0.2 0.219999998808
33 0.22199999541 0.187999999523
34 0.206000000238 0.211999997497
35 0.239999999106 0.220000003278
36 0.210000000149 0.193999999389
37 0.223999999464 0.227999998629
38 0.206000001729 0.21400000155
39 0.241999998689 0.222000001371
40 0.239999999106 0.18200000003
41 0.223999996483 0.211999998987
42 0.196000000834 0.237999995053
43 0.251999999583 0.205999996886
44 0.226000000536 0.211999996752
45 0.217999997735 0.201999998838
46 0.178000000119 0.209999997169
47 0.227999997139 0.247999997437
48 0.182000001892 0.240000000596
49 0.206000001729 0.26400000006
50 0.219999998808 0.227999998257
51 0.206000001729 0.24999999702
52 0.18599999845 0.257999999821
53 0.180000001937 0.232000000775
54 0.229999997467 0.226000002027
55 0.210000000149 0.238000005484
56 0.201999999583 0.239999999106
57 0.182000002265 0.24999999702
58 0.213999998569 0.224000001699
59 0.162000000477 0.219999998808
60 0.224000000954 0.229999999702
61 0.242000003159 0.243999998271
62 0.223999997973 0.241999994218
63 0.211999998614 0.262000001967
64 0.233999998868 0.241999997199
65 0.227999996394 0.201999996603
66 0.237999995053 0.242000000179
67 0.233999998868 0.212000001967
68 0.21799999997 0.23599999994
69 0.206000000238 0.23599999845
70 0.232000000775 0.219999998435
71 0.209999997914 0.217999998853
72 0.197999998927 0.265999999642
73 0.198000000417 0.251999999583
74 0.224000000209 0.246000000834
75 0.183999998122 0.189999997616
76 0.233999997377 0.268000000715
77 0.220000001788 0.208000000566
78 0.206000000238 0.234000000358
79 0.221999997646 0.248000001907
80 0.188000000268 0.217999997735
81 0.175999998301 0.208000001311
82 0.206000000238 0.204000001773
83 0.175999999791 0.210000000894
84 0.202000001073 0.223999997973
85 0.2 0.248000001907
86 0.193999999017 0.21800000146
87 0.196000000089 0.212000000477
88 0.220000000298 0.188000000268
89 0.192000000179 0.19999999702
90 0.2 0.233999997377
91 0.199999999255 0.211999998242
92 0.206000000238 0.227999998629
93 0.224000002444 0.217999999225
94 0.188000001758 0.223999999091
95 0.205999999493 0.178000001609
96 0.227999998629 0.209999996424
97 0.215999998152 0.179999998212
98 0.192000000924 0.217999999225
99 0.219999998808 0.197999999672
