x no_shield shield_1
0 8.23668395318 181.210046831
1 12.0315385677 173.928090099
2 9.56190988869 177.168708288
3 7.00465733865 176.496755681
4 74.8777054981 178.982575296
5 153.148700303 179.090824398
6 59.0628160057 186.317127959
7 163.468966024 181.034794859
8 140.556247175 185.100051765
9 184.520950396 183.141307061
